date,temperature_2m_mean
1974-08-28 00:00:00+00:00,60.033947
1974-08-29 00:00:00+00:00,62.41896
1974-08-30 00:00:00+00:00,68.58395
1974-08-31 00:00:00+00:00,68.61396
1974-09-01 00:00:00+00:00,63.73145
1974-09-02 00:00:00+00:00,65.33645
1974-09-03 00:00:00+00:00,63.16894
1974-09-04 00:00:00+00:00,59.250195
1974-09-05 00:00:00+00:00,65.03645
1974-09-06 00:00:00+00:00,65.4902
1974-09-07 00:00:00+00:00,60.66395
1974-09-08 00:00:00+00:00,61.740192
1974-09-09 00:00:00+00:00,60.7952
1974-09-10 00:00:00+00:00,57.378952
1974-09-11 00:00:00+00:00,57.4652
1974-09-12 00:00:00+00:00,59.6402
1974-09-13 00:00:00+00:00,63.888943
1974-09-14 00:00:00+00:00,63.4127
1974-09-15 00:00:00+00:00,61.3352
1974-09-16 00:00:00+00:00,62.201447
1974-09-17 00:00:00+00:00,63.930195
1974-09-18 00:00:00+00:00,61.36145
1974-09-19 00:00:00+00:00,52.440197
1974-09-20 00:00:00+00:00,52.95019
1974-09-21 00:00:00+00:00,53.39645
1974-09-22 00:00:00+00:00,54.892696
1974-09-23 00:00:00+00:00,53.2202
1974-09-24 00:00:00+00:00,56.3252
1974-09-25 00:00:00+00:00,51.015194
1974-09-26 00:00:00+00:00,48.273945
1974-09-27 00:00:00+00:00,50.78645
1974-09-28 00:00:00+00:00,58.852703
1974-09-29 00:00:00+00:00,47.58021
1974-09-30 00:00:00+00:00,46.70271
1974-10-01 00:00:00+00:00,47.29895
1974-10-02 00:00:00+00:00,46.961452
1974-10-03 00:00:00+00:00,46.30895
1974-10-04 00:00:00+00:00,44.4902
1974-10-05 00:00:00+00:00,48.28895
1974-10-06 00:00:00+00:00,48.243958
1974-10-07 00:00:00+00:00,48.015198
1974-10-08 00:00:00+00:00,47.62895
1974-10-09 00:00:00+00:00,46.48145
1974-10-10 00:00:00+00:00,47.336445
1974-10-11 00:00:00+00:00,45.8402
1974-10-12 00:00:00+00:00,44.42645
1974-10-13 00:00:00+00:00,43.6727
1974-10-14 00:00:00+00:00,42.885204
1974-10-15 00:00:00+00:00,45.8627
1974-10-16 00:00:00+00:00,44.34395
1974-10-17 00:00:00+00:00,43.080204
1974-10-18 00:00:00+00:00,44.0852
1974-10-19 00:00:00+00:00,45.525196
1974-10-20 00:00:00+00:00,41.962696
1974-10-21 00:00:00+00:00,42.6377
1974-10-22 00:00:00+00:00,44.940197
1974-10-23 00:00:00+00:00,43.2677
1974-10-24 00:00:00+00:00,44.587696
1974-10-25 00:00:00+00:00,44.763947
1974-10-26 00:00:00+00:00,41.392704
1974-10-27 00:00:00+00:00,43.023952
1974-10-28 00:00:00+00:00,42.03395
1974-10-29 00:00:00+00:00,40.0202
1974-10-30 00:00:00+00:00,39.465202
1974-10-31 00:00:00+00:00,38.205204
1974-11-01 00:00:00+00:00,39.307697
1974-11-02 00:00:00+00:00,40.766445
1974-11-03 00:00:00+00:00,38.97395
1974-11-04 00:00:00+00:00,37.84145
1974-11-05 00:00:00+00:00,37.3202
1974-11-06 00:00:00+00:00,36.93395
1974-11-07 00:00:00+00:00,38.606457
